Course	Room	Teacher	Time	Students
14570	0	409956	1	3669028 3797643 3910533 3768620 3667404 3816486 3668912 3797625 3910741 3819332 3649880 3712905 3660063 3668812 3460338 3615055 3728679 3781152 3820885 3789573 3790244 3789507 3693219 3722926 3648970 3715174 3693286 3580251 3608097
14571	0	3577231	3	3910533 3668912 3797625 3910741 3819332 3712905 3660063 3668812 3460338 3728679 3820885 3789573 3790244 3789507 3693219 3722926 3648970 3715174 3693286 3580251 3608097 3712888 3768625 3818762 3717137 3722992 3821231 3693712 3817427
2153	1	3415849	13	3105802 3539996 3579291 3692862 3818274 3823130 3559464 3609553 3721962 3671851 3695543 3710991 3650239 3689500 3816554 3576212 3481664 3497993 3560256 3579864 3580211 3629467 3652353 3692796 3693789 3694754 3722764 3818029 3630501 3650277 3652276 3687862 3821440 3715444 3816483 3789175 3581918 3821197 3699567 3768197 3821097 3816104 3820732 3651605 3695368 3818773 3558796 3651487 3820588 3716638 3668196 3722926
6847	1	3646602	23	3576421 3797616 3691241 3482323 3576311 3576496 3576536 3668790 3668829 3669050 3105802 3430298 3481805 3651017 3576403 3576406 3576410 3576464 3576555 3668846 3668855 3483298 3631215 3496439 3521461 3529298 3481943 3591844 3650956 3482592 3668912 3475298 3480714 3493748 3496673 3516634 3579864 3693789 3693813 3574137 3470846 3638301 3461197 3591591 3651605 3695368 3558796 3650578 3668196 3575483 3693224 3489089
14865	1	31522	27	3486321 3690516 3431655 3485092 3576329 3576355 3576375 3576408 3576432 3576448 3576472 3597868 3662232 3662759 3668853 3668985 3700270 3797591 3797592 3797669 3797713 3797750 3910491 3910583 3910591 3910624 3910766 3476860 3479976 3483385 3479054 3610681 3576339 3576358 3576406 3576579 3576625 3797610 3797672 3910556 3910628 3480732 3480571 3480939 3484202 3815949 3457988 3595641 3689920 3816860 3478297 3576391
14866	1	31522	28	3431655 3485092 3576329 3576355 3576375 3576432 3576448 3576472 3597868 3662232 3662759 3668853 3668985 3700270 3797591 3797592 3797669 3797750 3910491 3910583 3910591 3910624 3910766 3475745 3476860 3479976 3465588 3610681 3576339 3576358 3576406 3576457 3576625 3797610 3797672 3910556 3910628 3694006 3621523 3480571 3484202 3815949 3457988 3595641 3689920 3790792 3816860 3478297 3576391 3797667 3821552 3692316
6024	1	3470402	29	3668854 3797775 3797850 3910516 3910538 3821077 3821195 3668867 3693581 3910700 3606536 3710476 3819598 3711797 3581663 3691783 3589576 3708638 3479054 3576002 3606290 3820745 3576425 3668767 3610287 3668623 3695027 3695510 3819177 3821179 3821554 3690778 3691834 3816180 3788990 3705083 3768339 3651465 3645720 3818064 3691616 3820037 3821588 3818770 3797728 3797744 3496673 3575259 3690799 3764157 3796906 3821439
6031	1	3839982	32	3668873 3910746 3616918 3479838 3475959 3789283 3668968 3481562 3651499 3581232 3821393 3818782 3768303 3576002 3820038 3577703 3578240 3629951 3653200 3667464 3816960 3817637 3821643 3574349 3577485 3774021 3721962 3768025 3631215 3632881 3789288 3768088 3595641 3694289 3820970 3690719 3579864 3690043 3584557 3650277 3816483 3492423 3789493 3715155 3820965 3818480 3819143 3821571 3820963 3651605 3694738 3820030
6851	1	402773	37	3797780 3512896 3667464 3694417 3690806 3632720 3451557 3691514 3633806 3559302 3581962 3690043 3716140 3584557 3789055 3789493 3820965 3818480 3631042 3820963 3694738 3821006 3610120 3612203 3769368 3460343 3574519
1152	1	135660	39	3580256 3910639 3821044 3651486 3730202 3821059 3630526 3695345 3613455 3691783 3764422 3574563 3768034 3792443 3820397 3820587 3790492 3797787 3501476 3651365 3653200 3692862 3704166 3796007 3817177 3820958 3690806 3559537 3609553 3721962 3611048 3651465 3579645 3668365 3689500 3695539 3768356 3694415 3676165 3693813 3764157 3796906 3630501 3711406 3715155 3821197 3699567 3695434 3712905 3591591 3610120 3712888
15246	1	820103	43	3414205 3581497 3592680 3576422 3668959 3910541 3481798 3579099 3485931 3694433 3576376 3797806 3797823 3579592 3689893 3817668 3474207 3690652 3460569 3661465 3821016 3650228 3820479 3797605 3910622 3444536 3465327 3540124 3578861 3610287 3677885 3695784 3796007 3525604 3531305 3621523 3817682 3796723 3480939 3578191 3819585 3650239 3797192 3651573 3691616 3797206 3483085 3692187 3479350 3581247 3722764 3816992
7377	1	31522	47	3576557 3576568 3668806 3669047 3790863 3797632 3797639 3797668 3797691 3797714 3910463 3910501 3910537 3443522 3630474 3668865 3797656 3910525 3910564 3474620 3480375 3609410 3690652 3575309 3558838 3692628 3650228 3576625 3797690 3797787 3910556 3476927 3524963 3540124 3677885 3796007 3796964 3816924 3667676 3496439 3578191 3651465 3674492 3629518 3645720 3651573 3797206 3651033 3581149 3797839 3797862 3480592
3406	1	1061058	48	3820257 3690845 3821589 3675467 3821393 3817048 3797576 3820971 3764422 3792443 3820974 3821016 3820479 3819542 3820038 3821047 3816466 3821273 3561430 3651365 3821179 3816924 3816970 3768025 3816463 3669069 3611048 3764207 3768088 3771747 3789136 3820774 3591844 3768356 3816486 3818675 3821588 3792350 3694012 3691981 3692766 3693813 3694432 3816992 3821439 3789175 3820965 3768197 3818480 3820963 3820588 3785953
2562	1	3393847	63	3559172 3222918 3668753 3720506 3793534 3797722 3797781 3910527 3768458 3668971 3669006 3695281 3797665 3910754 3694980 3817379 3675467 3692536 3796926 3667821 3820971 3652373 3818782 3708638 3666570 3821273 3668947 3668974 3578811 3650997 3690346 3691575 3692786 3819177 3820958 3821179 3558800 3561318 3667381 3819196 3820032 3691694 3668386 3695292 3576763 3695539 3797084 3678350 3699561 3768972 3578921 3789055
2992	1	3764395	68	3632103 3821034 3815898 3910476 3910596 3910630 3667674 3558543 3716057 3796230 3796732 3816764 3819598 3821116 3620520 3689991 3484898 3628726 3630526 3592208 3474463 3671929 3792443 3821047 3797803 3574047 3651439 3692609 3695643 3816203 3764207 3493764 3498772 3691228 3666161 3797856 3692316 3581249 3716140 3796906 3821439 3821048 3711406 3821008 3767997 3819372 3820732 3694797 3716638 3769368 3817427
7374	1	987494	71	3576460 3578673 3797680 3910654 3774116 3440687 3797823 3579592 3689893 3694434 3595163 3612623 3692915 3487621 3797605 3910628 3444536 3483567 3578861 3606350 3693084 3704166 3531305 3621523 3667676 3671851 3483587 3620017 3651573 3789136 3480867 3577806 3642204 3692187 3651033 3581247 3480592 3581609 3651816 3694754 3695285 3818746 3574137 3821008 3580912 3693219 3560487 3608097
6026	2	431634	1	3487034 3576373 3576383 3576388 3668949 3668966 3668984 3669010 3797608 3797712 3797718 3797765 3599090 3419024 3576556 3576577 3668911 3669050 3797687 3797749 3797868
2161	4	1083806	17	3475573 3514964 3538202 3648550 3668420 3692440 3581038 3591774 3557244 3576513 3430298 3606536 3694903 3581081 3581232 3656490 3693276 3470393 3820380 3651017
8770	2	428728	3	3694828 3474395 3910592 3910507 3426943 3689893 3691983 3693276 3692269 3663306 3816181 3768686 3516442 3596713 3651365 3694481 3694813 3796007 3559464 3690800 3796723
6043	3	207327	13	3695373 3576530 3478506 3650596 3464850 3482288 3575898 3692771 3469615 3486852 3693276 3578804 3485288 3628726 3513947 3477425 3668782 3478356 3577022 3578811 3581980 3691575 3694006 3481643
6036	3	1141520	23	3797727 3480710 3481419 3485228 3650596 3579949 3580397 3695554 3789283 3477824 3480668 3575898 3578804 3821393 3483651 3691416 3477425 3578842 3668782 3478356 3578811 3694006 3574349 3577109
6035	3	3839982	27	3576501 3576564 3475959 3576396 3576633 3668914 3668968 3797628 3667273 3692771 3694434 3694903 3691416 3578842 3577022 3577703 3691575 3691748 3694417 3577485 3651243 3580114 3693902 3820756
7368	3	162977	28	3652339 3667385 3819230 3796974 3796237 3816466 3540428 3561026 3650736 3653200 3817637 3819309 3820729 3651243 3816970 3821088 3611048 3818064 3668365 3797429 3642332 3483059 3692514 3652353
14993	3	3195964	29	3576575 3668788 3797659 3797824 3797859 3910769 3568950 3581098 3576248 3652339 3602435 3464848 3581851 3576364 3576633 3797772 3478713 3452988 3669033 3464855 3481607 3652396 3668366 3695529
11313	3	672202	32	3474789 3576462 3576578 3668848 3619255 3456660 3480069 3477580 3576499 3668801 3458441 3482989 3581830 3609410 3559612 3820380 3818805 3668765 3797644 3465050 3486653 3560687 3469520 3484334
5196	3	493855	37	3465244 3576627 3797773 3797790 3651486 3692519 3730202 3796230 3821589 3818227 3817260 3485327 3487505 3574483 3576434 3788983 3821162 3481203 3667381 3493704 3665045 3816860 3651585 3576359
7396	3	162977	39	3485636 3576419 3576449 3576631 3443522 3579099 3822613 3690482 3576397 3579592 3575309 3576457 3444536 3476927 3483567 3524963 3606350 3635008 3667319 3480939 3483587 3556617 3480867 3577806
14204	3	3420576	43	3910762 3467452 3689931 3690845 3768458 3576546 3797653 3816549 3483977 3663306 3790492 3797784 3559476 3652396 3691140 3692285 3819177 3820729 3674492 3764207 3821886 3480791 3693433 3619323
2368	3	1051497	47	3576467 3797827 3910529 3910636 3910645 3609407 3821632 3817001 3910761 3716057 3819598 3821116 3483977 3485816 3476864 3690346 3693280 3816203 3816960 3821162 3820756 3705083 3598090 3692294
4275	3	3646542	48	3652569 3574546 3667674 3480150 3456660 3577984 3599536 3525384 3583596 3667608 3639603 3650874 3478343 3668752 3557742 3629951 3694813 3559537 3632881 3692756 3790825 3540705 3580407 3692380
7006	3	3198619	63	3609407 3694073 3910507 3690445 3822122 3652273 3819542 3581192 3606290 3561430 3581920 3602816 3655428 3694481 3820395 3690800 3618222 3631101 3669069 3815949 3668365 3820961 3816708 3650225
4285	3	802802	68	3469119 3485504 3668842 3684090 3797709 3910481 3651293 3481798 3486141 3678357 3797768 3910605 3910763 3476908 3479085 3477576 3487093 3603544 3559900 3485361 3576231 3618222 3632720 3480791
8420	3	3898367	71	3578910 3818676 3483084 3695554 3665300 3691983 3559903 3820010 3816181 3818771 3668130 3797720 3797784 3910674 3501476 3635008 3691140 3693253 3816463 3666207 3689329 3597215 3668870 3821552
13642	4	3195964	1	3576347 3576438 3797731 3464638 3606148 3576011 3797673 3574967 3579414 3816764 3482144 3822122 3592208 3465588 3486838 3581315 3667606 3797702 3516442 3651573
13170	3	3092941	17	3478102 3910569 3931398 3465181 3576230 3484746 3629970 3768555 3480810 3485327 3487505 3480382 3464396 3465442 3544254 3667654 3485774 3821088 3578191 3551641 3464306 3665045 3488858 3790792
12103	4	3393009	3	3576312 3481520 3481702 3576629 3484619 3592325 3486571 3819230 3465245 3789464 3558838 3480868 3578963 3597365 3818274 3579143 3575769 3712286 3484202 3689375
15001	6	402773	13	3693501 3774943 3690733 3616872 3692849 3581282 3580346 3790306 3668538
6504	5	777265	23	3910474 3910623 3585962 3817001 3467781 3652273 3610287 3692285 3699593 3821088 3816463 3710991 3790825 3689328 3651585 3692514 3479350 3578252 3820378 3821048 3717144 3821097 3792406 3789573 3821231 3694668
4852	5	3194193	27	3576584 3584685 3910553 3692852 3619255 3465244 3819433 3668832 3458441 3581830 3485537 3818227 3484361 3821047 3487621 3797690 3484816 3667749 3597302 3638956 3475298 3821048 3655749
4012	7	3442425	28	3485812 3668420 3694433 3797576 3610671 3818686 3695027 3690778 3493704 3789806 3597215 3817962 3432357 3497993 3712913 3793612 3540662 3695434 3792406 3774943 3608097 3708949 3817419
7375	5	820103	29	3538202 3559319 3668821 3694434 3474207 3693092 3595163 3430697 3465327 3501476 3524963 3606350 3693084 3693253 3816924 3620017 3480867 3642204 3823113 3797862 3560487 3608097 3816336
6034	6	213446	32	3797641 3797610 3691575 3651243 3629518 3820774 3559534 3695368 3581913 3574519
15000	6	402773	39	3691925 3580796 3774943 3690733 3616872 3581282 3580346 3790306 3694426 3612427
3005	5	3691394	37	3486133 3638594 3797649 3910652 3498974 3821359 3481967 3580326 3581999 3467781 3613455 3820405 3580714 3668947 3653200 3816960 3580114 3820032 3578921
3275	5	1061861	43	3458706 3483241 3485417 3576315 3576378 3576553 3596193 3797748 3514920 3576440 3576473 3668821 3486382 3451168 3559612 3669084 3797644 3797720 3631101 3596492 3689329 3668763 3480728 3660063 3581282
1843	5	56992	47	3576542 3797594 3463768 3485912 3580326 3581081 3652273 3481862 3576403 3480868 3596713 3694318 3579143 3689375 3817962 3481664 3560256 3690020 3694432 3483640 3470846 3693712 3796247 3764208 3694101
14628	5	3575049	48	3797657 3486787 3694073 3471745 3689845 3576362 3576405 3576527 3668824 3668911 3797673 3479355 3482263 3483385 3480067 3589576 3576535 3576586 3493931 3601391 3668366 3695529 3518231 3576306 3581995
14996	6	3461209	63	3549052 3530220 3797826 3480067 3578488 3576382 3487266 3691962 3479350 3695285 3816992 3667677 3815902 3581827
15113	5	820103	68	3484243 3486389 3668761 3484750 3576408 3910754 3443731 3576382 3558739 3487266 3480571 3464985 3556617 3580159 3768356 3467932 3576391 3577795 3651816 3456653
7128	5	162976	71	3485803 3464638 3487261 3474598 3481562 3691361 3452988 3474207 3483385 3486501 3768686 3464855 3465327 3481607 3482264 3484334 3487266 3482194 3478691 3467199 3478951 3483085 3576359 3469560
3270	6	695890	1	3261773 3576374 3910470 3693230 3487321 3576473 3484746 3485288 3816181 3820405 3820038 3580248 3635008 3693565
13614	6	375562	17	3669037 3797681 3797703 3694431 3797599 3486834 3580326 3694780 3576507 3667606 3668822 3797702 3577703 3629951
7370	6	826964	3	3668999 3485931 3486475 3651750 3797642 3817260 3575266 3652177 3478419 3797803 3817177 3816970 3667676 3521461
3001	7	3691394	13	3576519 3668828 3797636 3797864 3695024 3576507 3667606 3668822 3797702 3577703 3601391 3629951 3691748 3694415 3492423 3581846 3695434 3578392 3694426
2151	8	3897776	23	3665300 3666570 3480868 3821643 3579645 3789806 3655749 3821166 3821269 3797164 3725997 3816336
8469	7	3420576	27	3514964 3487261 3797676 3559903 3559645 3668845 3574047 3602816 3652396 3668366 3691140 3692786 3694791 3485774 3693253 3666207 3488858 3689329 3823113 3597215 3668870 3575259 3580796
8439	6	3898367	28	3669024 3822613 3487321 3576627 3730202 3485537 3595163 3650228 3478343 3797720 3816924 3559537 3796723 3486379
6518	7	777265	29	3576368 3576447 3820992 3694780 3797576 3506324 3692915 3819676 3493931 3692285 3724014 3797532 3820395 3690800 3667676 3464306 3576763 3483059 3483996 3692514 3668812
15249	8	3212821	32	3468281 3775417 3585962 3580340 3576399 3651486 3650997 3653119 3655428 3667503 3768339 3797192 3667311 3689328 3651033 3816708 3650225 3816832 3679221 3610120 3818762
13191	7	492451	39	3486777 3576477 3576399 3476930 3693473 3465245 3481557 3480264 3486311 3797564 3797814 3559900 3560373 3578240 3479311 3558800 3502893 3503630 3595071 3693433 3469560
9270	7	897706	37	3797813 3666801 3576565 3910677 3910685 3820900 3692628 3544254 3692761 3712286 3674492 3821886 3695292 3630915 3480734 3817487
14997	12	31347	43	3530220 3797826 3480067 3578488 3576382 3820756 3691962 3692316 3482198 3815902 3581827 3773692 3819143 3559534 3820030 3480423 3560487 3581913 3692098
9303	7	29475	47	3476082 3576529 3445680 3467427 3478309 3575581 3576417 3576465 3561772 3479355 3433686 3486782 3457873 3465050 3487055 3579579 3467199 3432357 3581827 3591591
3029	7	3764395	48	3576424 3668874 3669038 3576248 3461937 3576879 3580397 3668867 3668880 3668881 3669006 3481562 3668782 3668947 3577022 3578811 3480571 3580114 3797740 3694426
7040	7	162976	63	3484752 3576336 3576352 3576387 3576469 3576362 3576527 3576577 3666520 3695345 3910744 3464855 3694318 3560199 3518231 3467199 3478951 3498772 3581981 3581249 3692849
13627	12	3459335	68	3576442 3463768 3557244 3481805 3581081 3433686 3477425 3457873 3596713 3579143 3493748 3560256 3580211 3692796 3652276 3591591 3651487 3560487
2397	7	493725	71	3797645 3470797 3498974 3591436 3797692 3485170 3693280 3694481 3598090 3568636 3540705 3576763 3483003 3691514 3692380 3666161 3668827 3797829 3797849 3797856
3552	8	897706	1	3669048 3797805 3821729 3483278 3477580 3797640 3486382 3486571 3581870 3693612 3483925 3524341 3560687 3578240 3581171 3561318 3575769 3580407 3581596 3581846 3690733
7007	8	28980	17	3910685 3690445 3821004 3483977 3695345 3818805 3790492 3464855 3788983 3796964 3819309 3492361 3820961 3691228 3581981 3668827 3687862 3797740 3774808 3580346 3694426
1562	45	129398	3	3576581 3910730 3694384 3483557 3576482 3797855 3910761 3910622 3910674 3797192 3576474 3432357 3469560 3480728
1851	18	409956	13	3576386 3476797 3576512 3426943 3474620 3576260 3581085 3485169 3467093 3481862 3599497 3558739 3581920 3487055 3486379 3529298 3694432 3470846 3461197
13182	9	1020104	23	3576548 3576563 3483511 3796732 3817668 3819367 3789464 3486838 3557478 3474374 3544254 3789070 3485628 3667503 3771747 3694810 3768972 3432357 3538688 3774943
3412	9	58557	27	3476418 3910613 3630474 3482989 3481813 3691983 3513947 3460820 3581315 3668130 3524341 3705083 3690361 3630915 3692766 3815902 3699536 3542887 3821571 3708949
3454	9	3092941	28	3668863 3549052 3821729 3455037 3652473 3692519 3694980 3692536 3768555 3652373 3559612 3559476 3634695 3692761 3600785 3695292 3619323 3690020 3480734 3560234
8769	9	3554385	29	3819613 3483651 3577590 3789070 3820729 3821643 3816970 3789136 3819143 3817427 3785953 3821254 3821069 3821166
6019	10	1141520	32	3576567 3797611 3910559 3576626 3668941 3797588 3675467 3796237 3485816 3576571 3788983 3816486 3483059 3694012 3819628 3768197 3695145 3476899 3580912
5157	9	3555100	39	3465036 3668941 3581389 3473086 3557478 3797710 3463560 3497948 3581907 3667654 3481203 3486623 3560511 3819196 3712286 3447322 3667311 3608602 3679221
4290	9	3818521	37	3466014 3474140 3477824 3456089 3477576 3482144 3581220 3458061 3576365 3468070 3469520 3627845
2166	11	428815	43	3559857 3471450 3471447 3521265 3561074 3580248 3580269 3505157 3581996 3581605 3579723 3559149 3574558 3516634 3559302 3650578 3580251 3577187
2564	9	3792642	47	3797767 3910641 3483929 3483638 3576020 3689845 3576490 3797628 3486382 3470393 3506165 3512896 3694417 3821554 3774021 3581952 3818770 3819143 3693286
4803	9	31373	48	3797838 3910464 3910632 3910686 3910713 3576463 3797692 3486653 3581080 3581907 3653119 3693565 3789288 3821180 3699561 3519726 3581596 3796906 3456653
13172	9	24092	63	3483546 3692018 3819613 3651750 3419024 3620520 3574483 3581315 3576358 3482019 3790825 3630915 3645471 3816554 3789507 3716638 3712888 3764208 3821166
2163	11	3415849	68	3668829 3471450 3574543 3471447 3521265 3561074 3580269 3505157 3581996 3581605 3579723 3559149 3574558 3516634 3559302 3650578 3580251 3577187
2571	9	3792642	71	3576337 3668787 3910737 3668914 3797772 3480401 3521272 3576013 3581227 3452445 3484894 3693902 3559624 3690719 3581952 3575916 3650277
8467	10	125630	1	3502364 3576517 3482263 3575309 3663306 3661465 3669084 3559476 3574047 3577590 3724014 3482264 3525604 3487055 3666207 3480728 3575259 3559534
12303	10	576472	17	3559319 3581250 3556594 3559225 3578804 3692786 3693280 3674492 3629518 3475327 3498772 3691962 3581149 3797862 3581962 3559534 3790244
14114	8	827051	3	3648220 3797815 3910534 3651293 3576020 3797768 3796926 3797690 3581077 3695510 3574349 3692761 3694741 3690361 3716357 3820037 3689920 3797667
12832	9	1168592	13	3486141 3580095 3559804 3397840 3479085 3479355 3487093 3485054 3559970 3465588 3576429 3485361 3546417 3446353 3668923 3475298
11865	12	3818521	23	3576423 3576446 3576483 3576531 3466014 3474140 3581220 3576365 3468070 3651439 3576623 3633806 3694039 3581918
11827	12	428815	27	3471450 3471447 3521265 3561074 3580248 3580269 3505157 3581996 3581605 3579723 3559149 3574558 3516634 3559302 3650578 3580251 3577187
14381	11	53518	28	3693368 1084187 3519499 3910763 3480382 3820397 3576002 3560687 3581080 3693565 3694741 3816180 3578781 3691694 3692294 3481944
2569	12	3393847	29	3797845 3482739 3694384 3559591 3797599 3480401 3576013 3651499 3581227 3484894 3470393 3463439 3581077 3581171 3693902 3645471
4016	11	3442425	32	3576482 3820900 3613455 3579687 3819309 3695282 3796254 3581981 3668763 3630501 3692849 3693712 3818025 3816722
3478	11	431946	39	3477014 3475941 3592325 3460569 3465591 3610671 3851907 3576331 3508682 3574558 3493748 3773692 3821097 3668917 3456653
4282	12	1165566	37	3576444 3651439 3576623 3694039
3514	9	995587	43	3433275 3576532 3467427 3481702 3478309 3797643 3592325 3629970 3481354 3473086 3667821 3690204 3474374 3653119 3560511 3482019
13997	11	3575049	47	3576515 3480935 3606148 3576556 3486501 3669033 3493931 3601391 3559624 3560199 3618222 3518231 3498772 3483085 3577795 3581995
3532	11	3818982	48	3446645 3481520 3484845 3478964 3576230 3440687 3484619 3484746 3581870 3485537 3484361 3558838 3483925 3574866 3524341 3699536
3017	11	3332662	63	3576416 3797754 3821077 3474598 3668824 3486834 3576507 3667749 3556970 3820756 3546417 3789806 3668870 3793612 3492423 3820030
1749	13	3460008	68	3576534 3797634 3797729 3910518 3462240 3461937 3691783 3576535 3668366 3691140 3475327 3630915
15243	11	31631	71	3476930 3693473 3481557 3480264 3486311 3797564 3797814 3560373 3479311 3558800 3502893 3503630 3595071 3693433
15244	13	1167978	1	3476930 3693473 3481557 3480264 3486311 3797564 3797814 3560373 3479311 3558800 3502893 3503630 3595071 3693433 3469560
8821	12	31572	17	3576326 3797684 3797825 3470797 3576470 3668955 3480937 3430697 3478419 3478343 3565637 3576434 3603544 3483640 3481894
1766	11	3839985	3	3649568 3774116 3471745 3576565 3668766 3668956 3606536 3693092 3481354 3465591 3797752 3693565 3695292 3797862 3482198
5247	11	493855	13	3576398 3797695 3486632 3477004 3576303 3576343 3668850 3668971 3482989 3457873 3797672 3484816 3574047
4806	13	32827	23	3797685 3910618 3820900 3693185 3820971 3486653 3597365 3695643 3819585 3821886 3796254 3712913 3652276 3817427
13210	14	3470325	27	3775417 3667385 3656490 3693092 3819230 3652177 3557742 3606418 3797532 3692294 3667311 3694039 3616872
3440	13	31359	28	3576310 3576404 3468281 3576303 3910478 3668846 3559900 3689402 3818274 3819196 3667311 3558796 3611135
4015	13	3460456	29	3699613 3795999 3579361 3768034 3668130 3600785 3678350 3820970 3642332 3692187 3768625 3694668
8773	13	3896858	32	3797666 3816549 3818771 3667654 3689402 3693856 3676165 3627845 3483640 3820885 3818807
14138	13	493855	39	3797656 3910525 3816764 3690652 3695542 3678350 3816832 3687862 3815902 3821254 3708949 3668538
13636	13	605187	37	3576318 3576484 3668760 3910471 3821044 3461517 3484334 3478691 3668763 3650225 3817087
14984	19	3577231	43	3576415 3797828 3475573 3476797 3575928 3426943 3581085 3481862 3559464 3487055 3591211 3650277 3576522 3461197
4306	13	1165566	47	3576444 3451724 3466014 3474140 3456089 3477576 3482144 3576365 3576425 3576555 3468070 3469520 3451557 3480714
4889	13	31373	63	3481221 3482588 3576569 3465036 3464848 3576465 3458441 3478713 3484272 3484361 3480382 3468749 1088365 3484816
12326	13	3420576	48	3485028 3483467 3910517 3467452 3581851 3465245 3510665 3578036 3464398 3690800 3466962 3464306 3823113 3480423
1757	14	3460008	71	3481102 3797590 3547282 3599090 3581389 3578443 3576299 3910744 3474374 3560687 3596492 3576474 3578392
9225	14	1061058	68	3910564 3820992 3639603 3789464 3476927 3699593 3796964 3619323 3709927 3715444 3781152
6060	14	207327	1	3478506 3484990 3485228 3464850 3469615 3486852 3483651 3513947 3581980 3448314 3485727 3475933 3576420
1551	46	31756	17	3479712 1084187 3821059 3486782 3768303 3576579 3793612 3695145 3819372 3461197 3821006 3693224 3819645
5725	14	3392421	3	3910577 3650874 3817048 3481690 3579094 3634695 3671851 3493764 3650256 3692380 3651033 3481664
12818	14	3448653	13	3481875 3559645 3693280 3464327 3768025 3483003 3483950 3666161 3797849 3797856
1176	15	31388	23	3576313 3483306 3574967 3582182 3639603 3671929 3491953 3578963 3579687 3650736 3666175 3695282 3695539 3650256
1764	17	1000086	27	3576510 3576629 3579414 3581207 3620520 3575266 3612623 3692915 3508682 3724014 3575769 3665045 3483059 3544945
12107	15	31619	28	3433962 3559903 3484898 3474463 3797784 3524341 3577590 3602816 3677885 3485774 3486623 3466962 3488858 3699536
1165	15	3646621	29	3580341 3574639 3466364 3480935 3487310 3576548 3546891 3789315 3695539 3797839 3818762 3774808
1763	16	3474420	32	3576459 3484845 3463199 3602435 3797696 3581870 3796974 3668974 3557742 3694813 3484202 3451557 3790306
8774	15	31572	39	3797642 3690204 3661465 3561430 3788990 3578781 3789288 3631101 3693856 3818675 3797819 3691981 3611135 3714653
13213	15	3648217	37	3668973 3669032 3797620 3797760 3797791 3797858 3574546 3575928 3655393 3591774 3662757 3618222
1881	23	56992	43	3480999 3559189 3797881 3549272 3668759 3797758 3467093 3576299 3481203 3464327 3529298 3482592 3651816 3694754
2713	15	468281	47	3576504 3465181 3487732 3480150 3576510 3480937 3462237 3478419 3576434 3576571 3576579 3465442 3483567
3444	15	3818518	63	3580340 3575898 3652473 3796237 3485816 3465442 3694813 3551641 3667404 3619323 3665045 3819628 3480734
11305	16	29059	48	3568950 3477004 3668801 3910478 3484272 3691361 3476860 3578842 3851907 3474374 3480732 3544254 3492361
1187	15	31388	71	3454182 3466011 3475745 3480668 3557478 3574483 3479054 3471447 3485361 3446353 3560256 3540662
13640	15	893542	68	3462458 3668841 3581038 3576486 3690445 3559645 3581192 3493931 3601391 3602816 3560199 3518231 3580346
5290	16	3555100	1	3576314 3576324 3576357 3576563 3521272 3560193 3818686 3561001 3579687 3819232 3486623 3560511 3533093
3565	14	3443571	17	3486083 3668805 3483278 3455037 3487040 3514920 3443731 3557742 3560511 3600785 3667404 3560234
13185	15	132890	3	3581999 3514095 3668845 3559476 3577590 3578036 3578861 3694791 3485774 3578781 3503630 3576037 3668870
12765	16	3555097	13	3581201 3486740 3668750 3797861 3649568 3569865 3577984 3797868 3689991 3797667 3580796
5258	17	3819183	23	3467671 3797821 3486632 3581389 3452988 3487505 3464396 3667381 3609553 3579579 3447322 3493764 3581827
6559	15	31478	27	3668195 3487090 3797844 3910472 3581098 3483084 3797588 3797806 3478951 3579116 3483996 3648970
1424	17	20093	28	3910477 3583596 3796732 3819367 3580991 3671929 3704166 3789315 3771747 3689328 3768972 3816832 3818746
7407	17	31631	29	3576439 3486321 3485549 3480069 3443731 3481813 3460820 3487621 3576457 3444536 3667319 3464985 3484324
4874	17	32827	32	3695201 3579361 3468749 3485170 3581080 3597365 3667749 3576753 3645720 3581469 3642332 3481944
6862	19	3102267	39	3465332 3441310 3576437 3483929 3479838 3669000 3558543 3693921 3581192 3506165 3579094 3579291
9304	17	493856	37	3576357 3560193 3560649 3578707 3819232 3485628 3579579 3577054 3556617 3561516 3538688 3581827
6523	13	31573	43	3797751 3910711 3797665 3797790 3576013 3694780 3592208 3506324 3485053 3581980 3692609 3695022
2415	17	1051497	63	3606293 3560308 3575071 3579092 3668970 3560770 3482194 3689919 3639772 3568636 3797819 3580389
15242	17	695890	47	3606293 3560308 3575071 3579092 3668970 3560770 3482194 3689919 3639772 3568636 3797819 3580389
