Course	Room	Teacher	Time	Students
1	2	6	1	2 3 5 8 12 14 20 21 32 37 47 50
2	3	1	1	5 10 12 22 25 27 29 36 41 42 43 44 45 46
3	4	2	1	3 13 15 17 18 23 25 26 29 42 43 45
4	2	6	3	3 7 9 16 24 25 27 28 32 34 35 38 46
5	1	4	1	1 4 9 10 15 18 21 22 26 30 36 39
6	3	3	3	8 13 14 16 17 20 21 22 23 24 27 32 35 41 44 46 48
7	4	4	3	1 3 4 5 6 11 18 20 23 26 32 35 41
8	2	3	2	4 10 15 19 22 23 25 29 33 34 37 38 47 49
9	1	2	3	2 6 11 16 20 28 31 36 45 47 49 50
10	2	1	4	2 7 8 10 11 13 15 16 17 19 27 28 30 31 35 37 40 41 43 48
11	3	5	2	1 6 17 18 31 34 44 48 50
12	3	5	4	1 2 4 7 14 19 24 28 30 33 34 37 39 40 45 47 48
13	4	7	2	5 9 11 12 13 19 21 29 30 33 36 38 39 40 42 49
14	4	7	4	6 7 8 9 12 14 24 26 31 33 38 39 50
