Class Nbr,Subject,Catalog,Section,Descr,Crse Topic,Name,Name,Name,Name,Name,Class Cap,Enrl Stat,Start Date,End Date,Tot Enrl,Class Stat,Days 1,Srt1 AM/PM,End 1 AMPM,Building 1,Room 1,Exam type,Facil ID 1,Room Capacity
1617,ENGL,B320,001,Black Feminist Literature,,"Sullivan,Mecca Jamilah",,,,,19,Closed,9/5/17,12/22/17,19,A,TTH, 2:25 PM, 3:45 PM,DAL,119,NOEXAM,DAL119,42
1730,ARAB,B003,001,2nd Yr Mod Standard Arabic,,"Darwish,Manar","Perry,Farnaz Farokh",,,,15,Open,9/5/17,12/22/17,9,A,MWF,12:10 PM, 1:00 PM,DAL,006,TUESAM,DAL6,16
1731,MATH,B303,001,Abstract Algebra I,,"Cheng,Leslie C.",,,,,22,Closed,9/5/17,12/22/17,23,A,TTH, 8:25 AM, 9:45 AM,PK,336,TAKEHOME,PK336,30
1732,MATH,B303,002,Abstract Algebra I,,"Melvin,Paul",,,,,22,Closed,9/5/17,12/22/17,22,A,TTH, 2:25 PM, 3:45 PM,PK,336,TAKEHOME,PK336,30
1733,PSYC,B327,001,Adolescent Development,,"Albert,William Dustin",,,,,14,Open,9/5/17,12/22/17,8,A,F, 9:10 AM,12:00 PM,BYC,239,PAPER,BYC239,12
1734,PSYC,B353,001,Adv Topic in Clinical Psych,Mindfulness,"Schulz,Marc S.",,,,,16,Open,9/5/17,12/22/17,14,A,TTH,12:55 PM, 2:15 PM,BYC,239,NOEXAM,BYC239,12
1735,CITY,B345,001,Adv Topics Environ & Society,Sustainable Cities,"Raddatz,Liv",,,,,15,Closed,9/5/17,12/22/17,15,A,F,12:10 PM, 2:00 PM,DAL,212A,PAPER,DAL212A,18
1736,GERM,B321,001,Adv Topics German Cultural St,German Encounters/East Asia,"Shen,Qinna",,,,,0,Open,9/5/17,12/22/17,8,A,TH, 1:10 PM, 3:00 PM,CH,111,PAPER,CH111,30
1737,CHEM,B345,001,Advanced Biological Chemistry,,"Kung,Yan",,,,,15,Open,9/5/17,12/22/17,9,A,TTH, 9:55 AM,11:15 AM,PK,264,SELF,PK264,15
1740,PHYS,B308,001,Advanced Classical Mechanics,,"Bahreyni,Newshaw","Cheng,Xuemei",,,,0,Open,9/5/17,12/22/17,17,A,TTH, 9:55 AM,11:15 AM,PK,337,SELF,PK337,20
1741,CHEM,B311,001,Advanced Organic Chemistry,,"Malachowski,William P",,,,,15,Closed,9/5/17,12/22/17,16,A,TTH,11:25 AM,12:45 PM,PK,264,TUESAM,PK264,15
1743,ARTT,B353,001,Advanced Performance Ensemble,,"Kim,Seonjae","Lord,Mark Evans",,,,16,Open,9/5/17,12/22/17,6,A,, 0:00 AM, 0:00 AM,GO,COM,NORESPON,GOCOM,35
1744,RUSS,B201,001,Advanced Russian,,"Walsh,Irina K.",,,,,15,Open,9/5/17,12/22/17,2,A,MWF,10:10 AM,11:00 AM,DAL,212A,SELF,DAL212A,18
1745,CMSC,B340,001,Analysis of Algorithms,,"Xu,Yilun",,,,,18,Closed,9/5/17,12/22/17,18,A,TTH,11:25 AM,12:45 PM,PK,337,SELF,PK337,20
1746,EALC,B355,001,Animals Vegetables Minerals,,"Roses,Shiamin Kwa",,,,,15,Open,9/5/17,12/22/17,4,A,T,12:10 PM, 2:00 PM,CH,118,PAPER,CH118,12
1747,SPAN,B110,001,Análisis cultural y gramática,,"Song,H. Rosi",,,,,18,Closed,9/5/17,12/22/17,18,A,MW, 1:10 PM, 2:30 PM,CH,111,PAPER,CH111,30
1750,SPAN,B260,001,Ariel/Calibán y el discurso,,"Sacerio-Gari,Enrique",,,,,0,Open,9/5/17,12/22/17,3,A,TTH, 9:55 AM,11:15 AM,CH,102,PAPER,CH102,14
1751,ARTA,B251,001,Arts Teaching,,"Cantor,Madeline R.",,,,,12,Open,9/5/17,12/22/17,7,A,M, 7:10 PM,10:00 PM,GO,B,PROJECT,GOB,20
1752,ARTD,B331,001,Ballet: Advanced Technique,,"D'Angelo,Denise S",,,,,20,Open,9/5/17,12/22/17,14,A,MW, 7:10 PM, 9:00 PM,PE,STUD,NOEXAM,PEMSTD,50
1753,ARTD,B231,001,Ballet: Intermediate Technique,,"Mintzer,Linda K.",,,,,20,Open,9/5/17,12/22/17,8,A,TTH,12:55 PM, 2:15 PM,PE,STUD,NOEXAM,PEMSTD,50
1754,SPAN,B001,001,Beginning Spanish I,,"Bishop,Stephen Lawrence",,,,,18,Closed,9/5/17,12/22/17,19,A,MWF, 8:10 AM, 9:00 AM,CH,104,MONAM,CH104,30
1755,SPAN,B001,002,Beginning Spanish I,,"Bishop,Stephen Lawrence",,,,,18,Closed,9/5/17,12/22/17,22,A,MWF, 9:10 AM,10:00 AM,CH,116,MONAM,CH116,25
1756,SPAN,B001,003,Beginning Spanish I,,"Arribas,Ines Monique",,,,,18,Closed,9/5/17,12/22/17,19,A,MWF, 9:10 AM,10:00 AM,CH,104,MONPM,CH104,30
1757,SPAN,B001,004,Beginning Spanish I,,"Berard,Kaylea Blaise",,,,,18,Open,9/5/17,12/22/17,17,A,MWF,10:10 AM,11:00 AM,TAY,F,MONPM,TAYF,50
1758,SPAN,B002,001,Beginning Spanish II,,"Berard,Kaylea Blaise",,,,,18,Open,9/5/17,12/22/17,9,A,MWF, 8:10 AM, 9:00 AM,TAY,F,MONAM,TAYF,50
1759,SPAN,B002,002,Beginning Spanish II,,"Berard,Kaylea Blaise",,,,,18,Open,9/5/17,12/22/17,17,A,MWF, 9:10 AM,10:00 AM,TAY,E,MONAM,TAYE,35
1760,ANTH,B274,001,Bioarchaeology,,"VanSickle,Caroline Marie",,,,,25,Open,9/5/17,12/22/17,19,A,F, 1:10 PM, 3:30 PM,DAL,315,NOEXAM,DAL315,30
1761,CHEM,B242,001,Biological Chemistry,,"Kung,Yan",,,,,20,Open,9/5/17,12/22/17,18,A,MW,10:10 AM,11:30 AM,PK,264,SELF,PK264,15
1762,BIOL,B110,001,Biological Exploration I,Biology of Cancer,"Greif,Karen F.",,,,,55,Open,9/5/17,12/22/17,46,A,MWF, 9:10 AM,10:00 AM,DAL,300,SELF,DAL300,72
1763,BIOL,B110,002,Biological Exploration I,From Genotype to Phenotype,"Davis,Tamara L.",,,,,55,Open,9/5/17,12/22/17,46,A,MWF,11:10 AM,12:00 PM,PK,180,SELF,PK180,70
1764,BIOL,B110,00A,Biological Exploration I,,"Skirkanich,Jennifer Nicole",,,,,26,Open,9/5/17,12/22/17,22,A,M, 1:10 PM, 2:00 PM,PK,020,,PK20,30
1765,BIOL,B110,00B,Biological Exploration I,,"Skirkanich,Jennifer Nicole",,,,,26,Open,9/5/17,12/22/17,21,A,T, 1:40 PM, 2:30 PM,PK,020,,PK20,30
1766,BIOL,B110,00C,Biological Exploration I,,"Skirkanich,Jennifer Nicole",,,,,26,Open,9/5/17,12/22/17,16,A,W, 1:10 PM, 2:00 PM,PK,020,,PK20,30
1767,BIOL,B110,00D,Biological Exploration I,,"Skirkanich,Jennifer Nicole",,,,,26,Open,9/5/17,12/22/17,19,A,F, 1:10 PM, 2:00 PM,PK,020,,PK20,30
1769,SOCL,B342,001,Bodies in Social Life,,"Coutinho-Sledge,Piper Elizabeth",,,,,15,Closed,9/5/17,12/22/17,18,A,W, 1:10 PM, 3:00 PM,BYC,127,NOEXAM,BYC127,30
1770,HIST,B257,001,British Empire I: Capitalism,,"Kale,Madhavi",,,,,0,Open,9/5/17,12/22/17,12,A,TTH, 2:25 PM, 3:45 PM,CARP,13,NOEXAM,CARP13,15
1771,MATH,B101,001,Calculus I,,"Smiley,Danielle Elizabeth",,,,,35,Open,9/5/17,12/22/17,33,A,MWF, 9:10 AM,10:00 AM,PK,338,SELF,PK338,50
1772,MATH,B101,002,Calculus I,,"Myers,Amy N.",,,,,50,Open,9/5/17,12/22/17,44,A,MWF,10:10 AM,11:00 AM,PK,338,THURSAM,PK338,50
1773,MATH,B101,003,Calculus I,,"Myers,Amy N.",,,,,35,Open,9/5/17,12/22/17,31,A,MWF,11:10 AM,12:00 PM,PK,349,THURSAM,PK349,42
1774,MATH,B102,001,Calculus II,,"Kasius,Peter G.",,,,,35,Open,9/5/17,12/22/17,29,A,MWF,10:10 AM,11:00 AM,PK,349,SELF,PK349,42
1775,MATH,B102,002,Calculus II,,"Kasius,Peter G.",,,,,35,Open,9/5/17,12/22/17,14,A,TTH, 9:55 AM,11:15 AM,PK,338,SELF,PK338,50
1776,ENGL,B201,001,Chaucer: Canterbury Tales,,"Taylor,Jamie K.",,,,,18,Closed,9/5/17,12/22/17,23,A,TTH,11:25 AM,12:45 PM,EH,LEC,PAPER,EHLEC,40
1777,POLS,B367,001,China and the World,,"Oh,Seung-Youn",,,,,12,Open,9/5/17,12/22/17,9,A,T, 1:10 PM, 4:00 PM,DAL,212E,PAPER,DAL212E,12
1780,HART,B104,001,Classical Tradition,,"Cast,David J.D.",,,,,20,Open,9/5/17,12/22/17,16,A,MWF,10:10 AM,11:00 AM,CARP,25,TUESAM,CARP25,30
1781,PSYC,B289,001,Laboratory/Clinical Psychology,,"Schulz,Marc S.",,,,,15,Open,9/5/17,12/22/17,11,A,W, 1:10 PM, 2:30 PM,BYC,100,NOEXAM,BYC100,10
1783,CMSC,B240,001,Computer Organization,,"Blank,Douglas",,,,,24,Open,9/5/17,12/22/17,18,A,MW, 1:10 PM, 2:30 PM,PK,336,SELF,PK336,30
1785,HART,B325,001,Contemporary Art Conservation,,"Weldon,Marianne Carole",,,,,15,Closed,9/5/17,12/22/17,12,S,F, 9:10 AM,12:00 PM,DAL,2,PROJECT,DAL2,24
1786,HART,B373,001,Contemporary Art in Exhibition,,"Robbins,Carrie Marie",,,,,19,Open,9/5/17,12/22/17,18,S,F, 2:10 PM, 4:00 PM,DAL,25,PAPER,DAL25,20
1791,ARTW,B265,001,Creative Nonfiction,,"Liontas,Anna",,,,,15,Open,9/5/17,12/22/17,9,A,T, 1:10 PM, 4:00 PM,EH,II,,EHII,18
1792,PSYC,B224,001,Cross-Cultural Psychology,,"Park,Heejung",,,,,36,Open,9/5/17,12/22/17,34,A,TTH, 2:25 PM, 3:45 PM,CH,224,PAPER,CH224,50
1793,ARTD,B142,001,Dance Composition: Process,,"Brick,David Dean",,,,,10,Closed,9/5/17,12/22/17,11,A,TTH, 2:25 PM, 3:45 PM,PE,STUD,PROJECT,PEMSTD,50
1794,ARTD,B346,001,Dance Ensemble: Ballet,,"Cruz,Felicia V.",,,,,12,Open,9/5/17,12/22/17,6,A,TH, 7:10 PM, 8:30 PM,PE,STUD,PROJECT,PEMSTD,50
1795,ARTD,B345,001,Dance Ensemble: Modern,,"Prince,Olive Kachina",,,,,12,Open,9/5/17,12/22/17,2,A,MW, 4:10 PM, 5:30 PM,PE,STUD,PROJECT,PEMSTD,50
1797,ECON,B385,001,Democracy and Development,,"Rock,Michael T.",,,,,20,Open,9/5/17,12/22/17,6,A,TTH, 2:25 PM, 3:45 PM,DAL,25,NOEXAM,DAL25,20
1798,BIOL,B271,001,Developmental Biology,,"Davis,Gregory Keith",,,,,22,Closed,9/5/17,12/22/17,20,A,MWF, 9:10 AM,10:00 AM,PK,229,TAKEHOME,PK229,40
1799,PSYC,B206,001,Developmental Psychology,,"Albert,William Dustin",,,,,40,Open,9/5/17,12/22/17,38,A,MW, 1:10 PM, 2:30 PM,DAL,300,PAPER,DAL300,72
1800,ARTD,B267,001,Diasporic Bodies and Dance,,"Jones,Lela Aisha",,,,,20,Open,9/5/17,12/22/17,14,A,TTH,12:55 PM, 2:15 PM,GO,B,PAPER,GOB,20
1801,CMSC,B231,001,Discrete Mathematics I,,"Eisenberg,Richard Alan",,,,,30,Open,9/5/17,12/22/17,21,A,MW,10:10 AM,11:30 AM,PK,229,SELF,PK229,40
1802,BIOL,B220,001,Ecology,,"Mozdzer,Thomas",,,,,16,Open,9/5/17,12/22/17,10,A,TTH, 9:55 AM,11:15 AM,PK,100,NOEXAM,PK100,50
