Class Times	63
1	 2:00 PM  4:00 PM W
2	10:00 AM 11:00 AM MWF
3	11:00 AM 12:00 PM MWF
4	 9:00 AM 10:00 AM M-F
5	 1:00 PM  2:30 PM MW
6	10:00 AM 11:30 AM TTH
7	 9:00 AM 10:00 AM MWF
8	 1:00 PM  2:30 PM TTH
9	 1:00 PM  4:00 PM T
10	 7:00 PM 10:00 PM T
11	 1:00 PM  3:30 PM F
12	 7:00 PM  9:00 PM T
13	 2:30 PM  4:00 PM MW
14	12:00 PM  2:00 PM T
15	 8:30 AM 10:00 AM TTH
16	12:00 PM  1:00 PM MWF
17	 7:00 PM  9:30 PM M
18	 1:00 PM  3:00 PM W
19	 1:00 PM  3:30 PM T
20	 5:30 PM  8:00 PM W
21	 2:30 PM  4:00 PM TTH
22	11:30 AM  1:00 PM TTH
23	 2:00 PM  4:00 PM M
24	 2:00 PM  4:00 PM T
25	12:00 PM  2:00 PM W
26	 7:00 PM 10:00 PM M
27	10:00 AM 11:30 AM MW
28	12:00 PM  2:00 PM M
29	 7:00 PM  9:00 PM M
30	 2:00 PM  4:00 PM TH
31	 1:00 PM  5:00 PM MT
32	 1:30 PM  3:30 PM F
33	 7:00 PM 10:00 PM W
34	12:00 PM  1:30 PM TTH
35	 1:00 PM  4:00 PM M
36	 1:00 PM  3:00 PM WF
37	 2:30 PM  4:00 PM T
38	 1:00 PM  4:00 PM TH
39	 9:00 AM 10:00 AM MTWF
40	 1:00 PM  4:00 PM W
41	 9:30 AM 12:30 PM W
42	 4:00 PM  5:30 PM W
43	 7:00 PM  9:30 PM T
44	 1:00 PM  4:00 PM F
45	 1:00 PM  2:00 PM MWF
46	12:00 PM  4:00 PM MF
47	 1:00 PM  2:30 PM WF
48	 2:00 PM  3:00 PM MWF
49	10:00 AM 11:00 AM M-F
50	11:00 AM 12:00 PM M-F
51	 1:00 PM  2:30 PM M
52	 4:00 PM  6:00 PM TH
53	 2:30 PM  4:00 PM W
54	 6:30 PM  9:30 PM M
55	11:30 AM  1:00 PM MW
56	 2:30 PM  4:20 PM T
57	 1:00 PM  3:30 PM M
58	 7:30 PM  9:00 PM T
59	 1:00 PM  3:30 PM TH
60	10:00 AM 11:20 AM TTH
61	 8:00 AM  9:00 AM M-F
62	12:00 PM  1:00 PM W
63	 1:00 PM  2:30 PM F
Rooms	61
RCSEM	5
TH111	16
PK278	16
DAL204	64
DAL112	11
PK273	6
PK11	7
TH3F	4
THTL	15
TAYE	33
TH102	20
DAL105	28
TH104	24
TH224	30
PK232	12
EHIII	12
PK236	4
PK338	55
GIL210	44
PK336	33
PK337	9
TAYB	9
PEMSTD	6
TH251	13
PK25	66
CARP25	29
CARP21	28
PK243	39
PK227	13
TAYSEM	7
TAYF	39
GOA	13
TAYD	37
DAL318	15
PK264	12
EHSEM	17
TAYC	15
CAN311	8
CAN314	8
TAYG	40
PK300	1
EHII	24
RCCON	15
GOB	27
PK180	44
PK200	7
EHI	31
CARP17	13
PK328	21
CARP15	15
CARP13	11
GIL101	23
PK349	12
PK128	2
EHLEC	14
GOCOM	7
TH110	58
PK10	11
PK229	41
DAL100A	14
ROSTUD	7
Classes	239
002992	
004665	
002571	
005856	
002863	
002671	
005852	
010957	
004854	
002164	
002162	
002160	
002472	
011066	
010935	
010934	
010932	
005119	LANG
003007	
004666	
003277	
003270	
007034	
001185	
007380	
007381	
009322	
001892	
001843	
003009	
003008	
002569	
004009	LANG
003454	
001836	
001838	
002562	
010971	
002567	
007364	
002564	
005845	LANG
005847	
001845	
003484	
011063	
002367	
003031	
002682	
011064	
002413	
007397	
007395	
008782	
004274	
004278	
001890	
002856	SEM
002855	SEM
005202	
011056	
007026	
006864	
006865	
006863	
006860	
004377	
001423	
004873	
009296	
003447	
004013	
007372	
007375	
006562	
007377	
010947	
011079	
001151	
001248	
011075	
011076	
008500	
005199	
004379	
010953	
002453	
004369	
010956	
007897	
007877	LANG
008467	
009225	
004852	
007010	
011044	
011045	
011046	
006519	
004806	
004807	
001852	
001856	
006042	
006044	
010961	
005868	
004888	
002429	
004882	
002420	
008773	
008774	
005141	
002424	
007887	
007008	
008479	
011058	
010960	
006846	
007905	
006508	
004733	
004735	
011055	
005248	
005247	
004739	
003034	
003422	
005243	
006506	
008767	
008765	
008763	LANG
006059	
008485	
008810	
001747	
006054	
001749	
003275	
002637	
002635	
005156	
007127	
001183	
004011	
003531	
004023	
004280	
004282	
003029	
001839	
004288	
003027	
004827	
005724	
005727	
001444	
006029	
002152	
004017	
002151	
001562	
006023	
001561	
006026	
001894	
006024	
001752	
002394	
009270	
001213	
007920	
001769	
002643	
007087	
001473	
004036	
007387	
005123	
005121	
004839	
006500	
011035	
006038	
002568	
011031	
010851	
001763	
001764	
002399	
001166	
006848	
009263	
009262	
008420	
009266	
002149	
002869	
003006	
002657	
003511	
007113	
002182	
004014	
001168	
009304	
010725	
005722	LANG
001547	
007881	
004065	
006550	
002658	
006502	
001864	
002712	
005190	
002173	
007125	
001841	
004868	
002464	
001176	
011027	
002878	
002469	
005737	
001862	
003407	
006525	
004359	
007124	
008495	
004355	LANG
001758	
Teachers	159
0301910	002160
0031486	004014
0029475	002856
3208609	007381
3208554	001890
0675005	003277 003270
0205229	001836 002855
0409956	001852
0180723	002164
0847593	004355
0031560	005119 005123 005121
