Students	1081
1006444	001837 002636 006024 
1020150	002153 002856 006035 
0825478	004279 008475 008501 
0917702	001161 001168 001176 001243 
1067182	004362 004394 004734 006504 
0829837	002174 006868 
1064385	002856 002871 005723 007365 
1004733	001837 002161 002856 008780 
0954240	001168 001837 002161 006026 
0993551	001195 002161 006847 
0918118	001168 001839 001840 006847 
1006744	002153 002856 004276 006024 
0787159	001426 001763 
0826099	002871 003426 004889 
1078680	001842 002153 005723 006024 
0967793	004010 007045 
0992801	002856 006558 
0862176	001190 001839 006849 008459 
0887586	007378 007393 
0825970	003472 003560 
1005068	002856 007026 007041 
1067748	002856 003407 007017 
0900240	002636 003009 004020 
0822753	002876 005200 006043 
0832137	005177 006505 
0876307	001466 002876 003274 
1020370	001423 005120 006504 
1172030	002856 003432 005180 
1015256	002856 003423 008774 008780 
1003644	001837 001842 001844 005723 008475 
1079268	001546 002153 007365 
0945449	003274 005141 006031 006034 
0771438	001163 001249 003530 
1068109	004356 006024 
0897310	004667 006049 
0825990	003530 004889 005725 008459 
0909091	001243 002856 004276 004279 
0950942	002368 002397 002856 004276 
0948568	002653 002871 004360 005162 
1040868	001152 002876 004360 
1084187	002654 006024 006504 008766 
0781472	002163 002166 002178 002366 
0865346	007370 007396 
0825616	002368 002464 004276 008766 
1067334	001423 002871 004010 006031 
0756732	001572 003527 
0872721	003029 007916 
1081939	002653 002871 003423 004015 
1078819	001190 002992 004010 006024 
1080648	002153 002992 004360 006031 
1080149	006024 008421 008774 
0991120	002636 002941 006026 007365 
1037291	001152 002667 002876 
0781976	002572 004015 006024 
0875055	002876 006043 006049 
0813277	001176 001227 001249 
1082919	001423 001840 004012 004803 
0747147	002464 005284 
1056688	008780 
0768585	001168 001839 001842 
1036027	002856 004356 006024 
1064045	002153 006024 
0834138	005138 006045 006872 
0901868	003421 003472 003481 003560 
1056722	002992 003407 006024 
1019827	001837 005263 006026 
0888735	004824 005263 008446 
1083430	002368 002856 006024 008421 
0860204	001842 007040 007041 
0858872	001839 001844 006847 
1049929	006031 007045 008421 008764 
1067377	005141 007365 008764 
0967411	002856 003454 003516 004015 005725 
0812824	006041 
1067933	002153 002992 004012 006024 
1011104	001152 008421 008764 
0787430	007070 008459 
0915467	006024 008799 008809 
0851665	003567 
0919825	002368 002381 002396 002463 
0911941	002163 002166 003274 
0795445	001837 002856 006043 006049 
0699614	006024 007370 007403 
0868309	007026 
0782876	002941 004845 005263 005284 
0812298	004065 004845 004882 
1028249	002876 005141 005723 006024 
1001196	002366 008799 
0945584	002368 002397 
0773502	007106 008459 
1005102	001152 002856 005152 
0857382	004824 006049 006059 
0879882	001771 003421 003533 
0911598	002366 006043 006049 
0992744	001837 002161 008766 
0920251	001763 004016 004845 007017 
0772005	006868 
