Class Times	76
1	12:45 PM  2:15 PM TTH
2	 1:00 PM  2:30 PM MW
3	 7:00 PM  9:00 PM T
4	11:15 AM 12:45 PM TTH
5	 7:00 PM 10:00 PM T
6	 2:30 PM  4:00 PM M
7	 9:45 AM 11:15 AM TTH
8	12:00 PM  1:00 PM MWF
9	10:00 AM 11:00 AM MWF
10	 7:00 PM 10:00 PM M
11	 2:00 PM  4:00 PM T
12	 1:00 PM  4:00 PM W
13	 2:00 PM  4:00 PM F
14	10:00 AM 11:30 AM MW
15	11:00 AM 12:00 PM MWF
16	 2:00 PM  4:00 PM TH
17	 9:00 AM 10:00 AM MWF
18	 1:00 PM  4:00 PM T
19	12:00 PM  2:00 PM W
20	 4:00 PM  6:00 PM M
21	 2:00 PM  4:00 PM M
22	 8:15 AM  9:45 AM TTH
23	 1:00 PM  3:30 PM TH
24	 1:00 PM  4:00 PM F
25	 2:00 PM  4:00 PM W
26	 1:00 PM  2:30 PM W
27	 2:15 PM  3:45 PM TTH
28	12:00 PM  2:00 PM M
29	 2:30 PM  4:00 PM MW
30	 1:30 PM  2:30 PM W
31	 1:30 PM  3:30 PM M
32	11:30 AM  1:00 PM MW
33	 1:00 PM  3:30 PM W
34	 7:00 PM  9:00 PM TH
35	 1:00 PM  4:00 PM M
36	 3:00 PM  4:30 PM W
37	 1:00 PM  2:00 PM MWF
38	 7:00 PM  9:45 PM M
39	 1:00 PM  3:30 PM T
40	 7:00 PM  9:45 PM T
41	 3:45 PM  5:45 PM TH
42	 3:45 PM  5:45 PM T
43	12:00 PM  2:00 PM T
44	 1:15 PM  3:15 PM T
45	 1:15 PM  3:15 PM TH
46	 1:00 PM  2:00 PM MW
47	 4:00 PM  5:30 PM TTH
48	 7:00 PM 10:00 PM W
49	 7:00 PM  9:00 PM M
50	 2:30 PM  4:30 PM MW
51	 1:00 PM  2:00 PM W
52	 1:00 PM  2:00 PM M
53	 2:00 PM  5:00 PM M
54	 1:30 PM  4:30 PM T
55	 1:00 PM  2:00 PM TH
56	 6:30 PM  9:30 PM TH
57	 8:00 AM  9:00 AM MWF
58	12:00 PM  2:00 PM F
59	 1:00 PM  5:00 PM TH
60	 5:30 PM  7:00 PM MW
61	 4:00 PM  7:00 PM W
62	 8:30 AM 10:30 AM W
63	12:00 PM  1:00 PM MW
64	 9:45 AM 12:45 PM T
65	10:00 AM 12:00 PM TH
66	 1:00 PM  4:00 PM TH
67	 2:30 PM  4:00 PM F
68	 4:00 PM  6:00 PM T
69	 1:00 PM  2:30 PM F
70	 1:30 PM  4:00 PM F
71	 7:00 PM  9:00 PM MW
72	10:00 AM 12:00 PM T
73	 1:00 PM  2:00 PM T
74	 3:30 PM  5:00 PM F
75	 4:00 PM  5:30 PM MW
76	 2:30 PM  3:30 PM MWF
Rooms	64
EHI	23
TAYF	30
ROSTUD	13
CARP21	30
EHII	23
EHLEC	34
PK229	36
PK25	37
PK278	61
BYC127	40
TH121	13
DAL2	27
CARP17	10
TH251	11
TAYSEM	24
CARP15	17
TH224	24
TAYB	16
PK243	54
PK234	51
TAYC	23
EHIII	15
PK338	106
PK349	61
PK10	9
CARP25	17
CARP13	14
PK259	20
DAL119	43
PK354	22
PK227	12
DAL10	16
PK336	50
DAL212E	12
DAL1	18
PK264	11
DAL300	33
TH110	77
TAYE	33
TAYD	49
TAYG	32
PK200	12
BYC239	9
PK337	12
DAL212A	16
DAL25	18
BYC131	9
BYC106	11
TH223	5
GOB	25
TH111	23
TH104	30
RCSEM	10
RCCON	20
PEMSTD	13
PK180	93
PK328	11
PK179	10
PK20	168
DAL6	10
TH102	24
GOCOM	4
DAL110	14
GOA	2
Classes	280
003442	ENGL	200	
002367	CITY	100	
002394	CITY	200	
002412	CITY	200	
001767	ARTW	200	
003572	ENGL	300	
001839	BIOL	200	
001845	BIOL	200	
002153	CHEM	100	
008769	SPAN	100	
006587	PHIL	300	
008774	SPAN	200	
002472	CITY	300	
005310	HIST	300	
004036	FREN	200	
004065	FREN	300	
003520	ENGL	300	
005847	LATN	100	
012729	HART	300	
014119	HIST	200	
004355	GERM	000	LANG
005263	HIST	300	
004304	ENVS	300	
006846	PHYS	100	
013192	BIOL	300	
001248	ANTH	300	
002164	CHEM	200	
003526	ENGL	300	
001213	ANTH	300	
008824	SPAN	300	
013059	LATN	300	
001768	ARTW	200	
004809	HART	100	
006023	MATH	100	
008773	SPAN	200	
011230	CMSC	200	
001898	BIOL	300	
007127	POLS	300	
004885	HART	300	
009299	HART	300	
014534	PSYC	200	
003525	ENGL	300	
004301	GEOL	300	
001769	ARTW	200	
001151	ANTH	100	
002469	CITY	300	
002162	CHEM	200	
011826	CHEM	200	
002867	CSTS	100	
003454	ENGL	200	
004807	HART	100	
001840	BIOL	200	
007125	POLS	300	
001861	BIOL	300	
001770	ARTW	300	
003469	ENGL	200	
006508	PHIL	200	
006042	MATH	300	
012731	HART	300	
003037	ECON	300	
005845	LATN	000	LANG
014983	ITAL	300	
011076	PSYC	200	
004725	GNST	200	
004666	GNST	100	
014977	CHEM	300	
008479	SOCL	300	
013185	SOCL	300	
002878	CSTS	300	
011035	LING	100	
001763	ARTW	200	
007368	PSYC	100	
008500	SOCL	300	
014550	EDUC	200	
003014	ECON	200	
005724	ITAL	100	
012895	PSYC	300	
008420	SOCL	100	
004279	GEOL	200	
010314	PHYS	100	
006564	PHIL	300	
011207	PHIL	300	
014994	PHYS	100	
006038	MATH	200	
006044	MATH	300	
006865	PHYS	300	
007093	POLS	300	
014988	SPAN	300	
011063	POLS	200	
002653	COML	200	
007391	PSYC	300	
006521	PHIL	200	
014980	PSYC	200	
005195	HIST	200	
012730	ENGL	300	
006059	MATH	300	
003034	ECON	300	
005119	HEBR	000	LANG
014970	ITAL	200	
006026	MATH	100	
007006	POLS	100	
013183	POLS	200	
004359	GERM	100	
004011	FREN	000	
007403	PSYC	300	
011206	EDUC	200	
008778	SPAN	200	
014225	LING	300	
007372	PSYC	200	
011834	RUSS	200	
007043	POLS	200	
002375	CITY	200	
005293	HIST	300	
012823	ARCH	300	
014990	ENVS	100	
008427	SOCL	200	
006029	MATH	200	
007034	POLS	200	
004017	FREN	200	
001161	ANTH	200	
014985	ANTH	300	
013212	ARAB	000	
001460	ARCH	300	
002564	CMSC	200	
004280	GEOL	200	
001179	ANTH	200	
013613	ECON	200	
004838	HART	200	
006854	PHYS	200	
006867	PHYS	300	
001427	ARCH	200	
001444	ARCH	200	
004014	FREN	100	
002413	CITY	200	
014998	PHYS	100	
014999	PHYS	100	
012295	CMSC	300	
013996	SOCL	300	
004832	HART	200	
008770	SPAN	100	
015003	HART	200	
007010	POLS	200	
004013	FREN	000	
004274	GEOL	100	
013204	CITY	100	
014113	CNSE	000	
007881	RUSS	100	
007899	RUSS	200	
014103	RUSS	100	
002562	CMSC	100	
002992	ECON	100	
015014	ARTD	100	
004379	GERM	200	
012354	ARTD	300	
014139	CSTS	200	
004393	GERM	300	
003277	EDUC	300	
015002	RUSS	200	
001892	BIOL	300	
006573	PHIL	300	
008484	SOCL	300	
012886	CSTS	300	
014971	ITAL	200	
014542	ANTH	300	
007887	RUSS	200	
008784	SPAN	200	
005722	ITAL	000	LANG
001549	ARTD	200	
014627	POLS	200	
002151	CHEM	100	
002160	CHEM	200	
011321	POLS	300	
014981	GNST	200	
014986	EAST	200	
001547	ARTD	100	
014567	BIOL	100	
014569	BIOL	100	
011861	HIST	100	
002572	CMSC	300	
015012	CNSE	000	
005271	HIST	300	
005854	LATN	200	
008763	SPAN	000	LANG
002637	CNSE	100	
001156	ANTH	100	
001473	ARCH	300	
010851	MATH	200	
004288	GEOL	200	
007031	POLS	200	
002567	CMSC	200	
014629	POLS	300	
013184	PHIL	200	
014982	SPAN	100	
003463	ENGL	200	
012353	ARTD	200	
014578	PHIL	200	
004817	HART	200	
002671	COML	200	
002643	CNSE	200	
003007	ECON	200	
013157	ITAL	100	
007877	RUSS	000	LANG
012733	RUSS	300	
001562	ARTD	300	
001753	ARTT	200	
004739	GREK	200	
014233	EAST	300	
011064	HIST	200	
003002	ECON	200	
014441	GNST	200	
006504	PHIL	100	
006024	MATH	100	
014231	ARTD	200	
011986	GREK	000	
010844	EDUC	200	
011203	ARTA	200	
003445	ENGL	200	
013203	ARCH	100	
009262	EAST	100	
001761	ARTT	300	
001230	ANTH	300	
014992	GEOL	100	
012665	ECON	300	
002386	CITY	200	
014995	PHYS	100	
001857	BIOL	300	
001559	ARTD	300	
014543	ARCH	100	
011322	SOCL	300	
001185	ANTH	200	
002438	CITY	300	
011065	HEBR	200	
012352	ARTD	200	
002440	CITY	300	
002374	CITY	200	
001771	ARTW	300	
004818	HART	200	
001836	BIOL	100	
002855	EMLY	000	
015163	QUAN	000	
004009	FREN	000	LANG
014120	HIST	200	
015114	PSYC	200	
014548	CHEM	100	
015016	CSTS	200	
011837	RUSS	200	
015134	SOCL	200	
008764	SPAN	000	LANG
005180	HIST	200	
003407	ENGL	100	
015113	PSYC	100	
014991	GEOL	100	
002381	CITY	200	
014555	CHEM	300	
015115	PSYC	300	
015111	CITY	200	
012320	EAST	200	
015133	SOCL	300	
002388	CITY	200	
015116	POLS	200	
015135	BIOL	200	
015106	CITY	300	
015004	COML	300	
015132	SOCL	200	
002370	CITY	200	
015007	EDUC	300	
014234	HIST	300	
012341	GERM	300	
015049	EAST	200	
012355	ARTD	300	
002433	CITY	300	
009232	CITY	200	
008468	SOCL	200	
015161	COML	300	
005252	HIST	300	
005257	HIST	300	
011325	MATH	300	
006560	PHIL	300	
002373	CITY	200	
012890	COML	300	
Teachers	172
3818982	003442 003463
0493725	002367 001156
0020988	002394
0031373	002412 004838
3474008	001767
0897399	003572 002855
0898918	001839 014569
0123161	001845 001892 004288 001857 001185
3897776	002153 014555
3554385	008769 008763 008764
0031399	006587 006573 014578 009283 004818 002855 011837 014576
0576472	008774 014988 015004
1051497	002472 002469 002413 004839 004882
1020104	005310 005293
3646540	004036 004065 004011
3393009	003520 003454
0031582	005847 002867
3194193	012729 004809 012730
3555100	014119 005310 014139 002855
0847593	004355 004359 002855
0493855	005263 005195
0316015	004304 007006
