Class Times	68
1	11:00 AM 12:00 PM M-F
2	 7:00 PM 10:00 PM T
3	 1:00 PM  2:30 PM TTH
4	 8:00 AM  9:00 AM M-F
5	 1:00 PM  2:30 PM MW
6	 2:30 PM  4:00 PM TTH
7	11:00 AM  1:20 PM T
8	11:30 AM  1:00 PM TTH
9	10:00 AM 11:30 AM TTH
10	 1:00 PM  4:00 PM W
11	11:00 AM 12:00 PM MWF
12	 2:00 PM  4:00 PM W
13	 1:00 PM  4:00 PM T
14	12:00 PM  2:00 PM F
15	 2:00 PM  4:00 PM T
16	 1:00 PM  3:00 PM M
17	 7:00 PM  9:00 PM T
18	 1:00 PM  3:30 PM W
19	12:00 PM  1:00 PM MWF
20	12:00 PM  2:00 PM T
21	 2:30 PM  4:00 PM MW
22	 9:30 AM 12:00 PM MW
23	11:30 AM  1:00 PM MW
24	 1:00 PM  4:00 PM TH
25	 2:00 PM  4:00 PM M
26	 1:00 PM  4:00 PM M
27	10:00 AM 11:30 AM MW
28	 9:00 AM 10:00 AM MWF
29	 9:00 AM 10:00 AM M-F
30	12:00 PM  2:00 PM M
31	 1:00 PM  3:30 PM T
32	10:00 AM 11:00 AM MWF
33	 6:00 PM  8:30 PM M
34	10:00 AM 11:30 AM W
35	 7:00 PM  9:30 PM W
36	 6:30 PM  9:00 PM T
37	 1:00 PM  2:00 PM W
38	12:00 PM  2:00 PM W
39	 2:00 PM  4:00 PM TH
40	 7:30 PM  9:00 PM T
41	 8:30 AM 10:00 AM TTH
42	 6:00 PM  8:30 PM T
43	 7:00 PM 10:00 PM M
44	 7:00 PM  8:30 PM TH
45	 6:30 PM  9:30 PM W
46	 2:00 PM  5:00 PM T
47	 1:30 PM  4:00 PM W
48	 4:00 PM  5:30 PM MW
49	 3:30 PM  5:00 PM T
50	10:00 AM  1:00 PM T
51	 2:00 PM  4:20 PM T
52	 1:00 PM  2:00 PM M
53	 9:00 AM 10:30 AM TTH
54	 1:00 PM  4:00 PM TTH
55	 1:00 PM  3:30 PM MW
56	 8:30 AM 10:30 AM TTH
57	10:00 AM 12:00 PM TTH
58	 1:30 PM  2:30 PM W
59	12:00 PM  1:30 PM TTH
60	10:00 AM 11:00 AM M
61	 1:30 PM  4:30 PM T
62	 2:00 PM  3:00 PM MWF
63	 1:00 PM  2:00 PM T
64	 6:00 PM  8:00 PM W
65	 6:30 PM  8:30 PM MW
66	 1:00 PM  2:00 PM TH
67	 8:00 AM 10:00 AM TWTHF
68	10:00 AM 11:00 AM M-F
Rooms	65
RCSEM	5
CARP17	17
TAYC	14
EHLEC	23
BYC127	26
BYC106	18
DAL2	32
DAL119	29
SW3	4
DAL10	12
TH223	10
PK337	7
TH102	45
PK336	18
PK328	8
CARP21	38
TAYE	22
DAL25	19
CARP13	16
EHIII	10
PK259	12
CARP25	21
ROSTUD	6
DAL315	16
TAYF	28
TH121	8
PK349	44
EHII	18
CARP15	13
DAL212A	22
EHI	17
PK227	8
PK100	61
PK229	35
TH251	5
TAYD	22
PK243	47
TH224	20
TH104	16
PK338	58
TAYSEM	14
TAYG	18
BYC239	10
PK180	36
PK278	91
DAL1	9
TAYB	10
DAL6	8
DAL300	73
PEMSTD	14
DVR	4
PK126	22
DAL212E	4
TH111	7
PK25	53
PK20	60
PK264	4
RCCON	12
PK230	7
TH110	50
PK10	6
PK127	9
PK231	2
PK200	3
PK232	2
Classes	311
007888	RUSS	200	
005271	HIST	300	
003406	ENGL	100	
011298	ENGL	200	
008764	SPAN	000	LANG
007397	PSYC	300	
008423	SOCL	200	
012107	SOCL	200	
013999	SOWK	300	
005217	HIST	200	
005310	HIST	300	
007028	POLS	200	
006872	PHYS	300	
004048	FREN	300	
006043	MATH	300	
006060	MATH	300	
007043	POLS	200	
005247	HIST	300	
009304	HIST	300	
013642	POLS	200	
004888	HART	300	
012286	ARTW	300	
004306	GEOL	300	
012304	SPAN	300	
012726	ARTT	300	
013920	ARTT	200	
001195	ANTH	200	
002874	CSTS	200	
001455	ARCH	300	
013638	SPAN	300	
001165	ANTH	200	
006504	PHIL	200	
006518	PHIL	200	
006588	PHIL	300	
006049	MATH	300	
013919	ENGL	200	
001768	ARTW	200	
008770	SPAN	100	
002395	CITY	200	
001166	ANTH	200	
001187	ANTH	200	
001249	ANTH	300	
001170	ANTH	200	
001763	ARTW	200	
013921	BIOL	200	
001474	ARCH	300	
010933	ARCH	300	
001840	BIOL	200	
001857	BIOL	300	
011299	BIOL	200	
007370	PSYC	200	
011987	GREK	000	
013201	ARCH	300	
003439	ENGL	200	
003489	ENGL	200	
005743	ITAL	300	
013640	POLS	300	
005291	HIST	300	
006852	PHYS	100	
013774	ENGL	200	
003278	EDUC	300	
002876	CSTS	200	
005180	HIST	200	
002868	CSTS	100	
005853	LATN	200	
013645	GNST	100	
004815	HART	200	
005161	HIST	200	
013839	ANTH	100	
009386	ANTH	200	
013922	ARCH	200	
002390	CITY	200	
007113	POLS	300	
002562	CMSC	100	
006045	MATH	300	
011535	ANTH	200	
002713	COML	300	
003270	EDUC	200	
003541	ENGL	300	
009270	ENGL	200	
005263	HIST	300	
011305	ARTW	200	
002569	CMSC	200	
013775	CMSC	200	
005258	HIST	300	
013287	HART	200	
001182	ANTH	200	
013641	SOCL	300	
005198	HIST	200	
001550	ARTD	200	
002153	CHEM	100	
004282	GEOL	200	
004066	FREN	300	
007041	POLS	200	
010851	MATH	200	
013185	SOCL	300	
006026	MATH	100	
006847	PHYS	100	
008782	SPAN	200	
002182	CHEM	300	
004803	HART	100	
011536	EAST	200	
002396	CITY	200	
008469	SOCL	200	
013996	SOCL	300	
001843	BIOL	200	
004840	HART	200	
001891	BIOL	300	
012821	CITY	300	
012832	CITY	300	
013613	ECON	200	
002379	CITY	200	
011315	ANTH	200	
013784	HIST	300	
001770	ARTW	300	
006024	MATH	100	
009296	HART	200	
002992	ECON	100	
001562	ARTD	300	
013997	POLS	300	
006537	PHIL	200	
013439	COML	200	
004285	GEOL	200	
013186	SOCL	300	
003017	ECON	200	
001871	BIOL	300	
001896	BIOL	300	
002161	CHEM	200	
013193	BIOL	300	
013627	BIOL	200	
002464	CITY	300	
007396	PSYC	300	
013647	ECON	300	
007007	POLS	100	
007395	PSYC	300	
013924	EAST	200	
005870	LATN	300	
013713	PSYC	300	
007403	PSYC	300	
004384	GERM	200	
004391	GERM	300	
004872	HART	300	
013290	HART	300	
004276	GEOL	100	
005725	ITAL	100	
007106	POLS	300	
001552	ARTD	200	
010977	EDUC	300	
004809	HART	100	
013286	ENGL	300	
007377	PSYC	200	
007006	POLS	100	
007128	POLS	300	
006509	PHIL	200	
012227	POLS	100	
009240	COML	200	
001837	BIOL	100	
007378	PSYC	200	
002433	CITY	300	
003539	ENGL	300	
013998	PSYC	300	
012494	ARCH	200	
011319	CNSE	100	
004825	HART	200	
001893	BIOL	300	
003001	ECON	200	
007374	PSYC	200	
002174	CHEM	300	
007910	RUSS	300	
007923	RUSS	300	
007060	POLS	300	
004869	HART	300	
002572	CMSC	300	
002414	CITY	200	
012503	CITY	200	
004033	FREN	200	
005205	HIST	200	
004281	GEOL	200	
013288	CITY	200	
007365	PSYC	100	
006035	MATH	200	
004012	FREN	000	
006850	PHYS	100	
002409	CITY	200	
011829	GEOL	300	
009213	ANTH	200	
013925	HIST	200	
007032	POLS	200	
003437	ENGL	200	
007017	POLS	200	
013840	ANTH	300	
001894	BIOL	300	
002163	CHEM	200	
002166	CHEM	200	
002929	EAST	200	
011841	ANTH	300	
013616	ECON	300	
001152	ANTH	100	
013635	EAST	200	
007040	POLS	200	
008421	SOCL	100	
012289	BIOL	300	
013172	ENGL	200	
003480	ENGL	200	
013289	ENGL	300	
003002	ECON	200	
011962	EDUC	200	
011855	HART	300	
011296	RUSS	200	
014073	ANTH	300	
003448	ENGL	200	
013166	ECON	300	
003433	ENGL	200	
011534	SOCL	200	
008778	SPAN	200	
013620	HIST	100	
002368	CITY	100	
002397	CITY	200	
013917	ANTH	200	
013782	HART	300	
004360	GERM	100	
006543	PHIL	300	
002403	CITY	200	
003019	ECON	200	
013636	ECON	200	
004016	FREN	100	
012732	PSYC	300	
011219	CMSC	300	
003562	ENGL	300	
006019	MATH	000	
001163	ANTH	200	
012486	COML	200	
005727	ITAL	200	
003454	ENGL	200	
013914	CNSE	200	
010966	GNST	100	
013916	PHIL	200	
003029	ECON	300	
013634	ECON	300	
004806	HART	100	
004010	FREN	000	LANG
011827	CHEM	200	
006868	PHYS	300	
013281	HART	200	
013628	ARTW	200	
003440	ENGL	200	
011344	CITY	200	
013210	LATN	100	
005846	LATN	000	LANG
011865	GEOL	300	
013609	GEOL	200	
006851	PHYS	100	
004036	FREN	200	
004015	FREN	100	
008792	SPAN	200	
002453	CITY	300	
004876	HART	300	
006031	MATH	200	
004868	HART	300	
010974	COML	300	
005731	ITAL	200	
010964	RUSS	300	
004362	GERM	200	
002564	CMSC	200	
007903	RUSS	200	
012353	ARTD	200	
011831	ARCH	300	
004023	FREN	200	
011207	PHIL	300	
012355	ARTD	300	
008495	SOCL	300	
011307	SOCL	200	
012352	ARTD	200	
013264	HIST	200	
002636	CNSE	000	
001878	BIOL	300	
011295	BIOL	200	
002690	COML	300	
002447	CITY	300	
008774	SPAN	200	
012850	ARAB	000	
002667	COML	200	
011830	BIOL	300	
008773	SPAN	200	
012823	ARCH	300	
004290	GEOL	300	
005723	ITAL	000	LANG
006034	MATH	200	
012284	RUSS	300	
012851	ARCH	300	
007882	RUSS	100	
007878	RUSS	000	LANG
002366	CITY	100	
006860	PHYS	200	
012766	FREN	200	
009225	ARTW	100	
004356	GERM	000	LANG
013718	ARCH	100	
009286	GERM	200	
005191	HIST	200	
002680	COML	200	
006523	PHIL	200	
005120	HEBR	000	LANG
013655	CITY	200	
004810	HART	100	
001157	ANTH	100	
002362	CITY	100	
012562	POLS	200	
002401	CITY	200	
011852	COML	200	
013656	COML	200	
Teachers	171
0470839	007888 007923 007882
1137952	005271 002403 005191
3320456	003406
0031332	003573 008825
0058557	011298 011299 013774 013775
0428728	008764 008770
3474098	007397 013713 007365
0132890	008423 008421
0031619	012107 013185 013186
3461401	013999
3460008	001749
0493856	005217 009304
1020104	005310 013620
0316015	007028 002390 007113 008495
0031347	006872 006852 006850
0031573	007128 007060 007032 006543 006523
0031578	004048 004015 002690
0409737	006043 006024
0431634	006060 006045
3481299	007043
3555101	005247
3195964	013642 007128 007006
0031373	004888 004803 002453 004868
1165592	012286 003439 013628 013656
3447501	004306 011865 013609 004290
0031572	012304 008792
0416447	012726
0897399	013920 013919
0031471	001195 001249 001152
0031582	002874 005161
0020093	001455 013201 011855
1168489	013638 008770
3557246	001165 013922 013917
3554648	006504 013916
0031399	006518 006537
0031478	006588 011207
0031454	006049 006031
3474420	001768 001770
3554385	008770
1051497	002395 004825 002368 004810 001157
0135660	001166 011841
0031388	001187 009386
3556528	001170
3573269	001763
3483424	013921 001894
0853792	001474 005198 012494 012503 012562
0031632	010933 012823
0168763	001840 011219 001878
0123161	001857
0826964	007370 012732
0004955	011987 002868
3318436	003489 013286
3392421	005743 005725
0893542	013640 013641
3555100	005291 005310 012851
0675005	003278 003279
1084458	002876
3461286	005180 005310 005258
3470325	005853 005846
0493725	013645 001182 002397
3092667	004815
3447549	013839 007106 012227 013840 014073
0162976	007128 007041 007040
0564741	002562 013915
3213249	011535 011536 011315 011534 011344 011307
1167978	002713 004023
0695890	003270
0599596	003541 003480 002680
3554810	009270 009296
0029475	005263
0077135	011305
3393847	002569 002562
3474664	013287 013288
0031756	001550 001559 012355
3415849	002153 002163
0162987	002153
1165566	004282 004276 002362
0854975	004066 004033 010974
0621313	010851
3470402	006026 006024
0402773	006847
0576472	008782 008774
0428815	002182 002166
1167851	003406
0020988	002396
0125630	008469 013996
0899465	008764
0056992	001843 007404 001896
3452082	004840 002414
3459335	001891 013627
3448653	012821 013784 005205 002409
1157682	012832 011829 011831 011830
0492580	013613 003002 013166
0031568	007128 007017 001163
3092832	002379 004285 004281
3473854	002992 003001 003029
0705542	001562
3575049	013997
0468281	013439 011296 007903
3478855	001562
3332662	003017 002992 002401
3422398	001871
1083806	002161
0898918	013193 001893
0910179	002464
0127558	007396
3555173	013647 013634
0028980	007007 007128
0902313	007395
3555097	013924 013925 013635
3212821	005870 013210
0031611	007403
0138190	004384 009240 009213 004360 009286 011852
0847593	004391 004362 002447 004356
0348369	004872
3475527	013290 004809 013289
0254474	001748 011198
0129398	001552 012352
0216539	010977
0031333	001562
0031522	007377
3451414	006509 006504
0409956	001837 012289
3209393	001837
0162977	007378
0697660	002433
3443571	003539 003454
0987494	013998 007374
0827051	011319 002636
0004950	002174
0910346	007910
0053518	004869
1168490	002572 002564
3427120	006847 006868
0207327	006035
1167922	004012 004010
0897706	003437 003454 002667
3421211	002929 013914 013281 013264
0375562	013616 003019
0024092	013172 003562
0492451	011962
0031359	003448 003440
0995587	003433
3194197	008778 008773
3557107	013782
0605187	013636
3442425	004016 004010 012766 013655
0856198	006019
3426520	012486 012850
0984701	005727 005723
0775640	010966
0032827	004806 004876
0180723	011827 002153
1167884	006851
3460456	004036 004010
3556752	005731 005723
0775195	010964
0683480	012353
0254151	001152
3577228	001152
3312777	011295
0554585	006034
0031386	012284 007878 012734
0031526	006031
0263980	002366
3461209	006860
1061058	009225
3555417	013718
3482436	008764
0215359	004012
3400071	005120
