Students 	100
0	0 2 9 7 1
1	1 4 3 2 9
2	7 6 4
3	1 5 7 8 2
4	2 6 8 1 5
5	6 8 5 2 9
6	3 8 5 7
7	0 9 2
8	5 9 0 4 3
9	9 5 2 7
10	2 1 7 0
11	0 6 8 2 1
12	5 0 8
13	5 4 7
14	0 7 6 2
15	0 2 4
16	7 6 5
17	7 4 8 1 3
18	6 2 1
19	2 6 4 7 9
20	1 8 4 3 5
21	8 9 0 3
22	2 6 8
23	9 5 1
24	8 9 1 2
25	0 5 1
26	5 1 0 4
27	4 2 0
28	0 1 3 5 8
29	1 8 0 7 2
30	5 9 0
31	6 7 3
32	7 4 8
33	5 3 9 0
34	7 1 0 8
35	0 8 6 1 4
36	7 4 8
37	2 9 1 3 7
38	3 5 6 4 2
39	0 5 7 4 1
40	3 5 0 9
41	4 1 5 0
42	3 8 6 7
43	5 8 1 9 4
44	4 0 6 1
45	9 6 5 7
46	0 3 1 4 6
47	4 7 2
48	7 1 6 5 2
49	6 9 0 7 2
50	8 1 5 7
51	6 7 8
52	7 3 1 5 9
53	4 9 7
54	0 8 2
55	8 3 9 7 5
56	8 4 0 9
57	2 8 1 3
58	7 6 4 3 1
59	1 0 8 3
60	2 9 3
61	9 6 4 7 3
62	4 2 6 7 8
63	4 8 6 5 1
64	6 0 2 8
65	0 8 7 4 1
66	9 0 1 8 2
67	0 8 1 3
68	3 4 1
69	7 4 9 5
70	3 2 0
71	0 7 1 8
72	1 3 5
73	4 5 7 8
74	9 1 3 6
75	1 3 5
76	9 8 7 4 3
77	9 8 3 0 6
78	1 7 8
79	0 1 3
80	7 5 4 1 8
81	6 5 7 1 0
82	8 5 1
83	7 5 9 1 4
84	9 6 5 3
85	5 1 8 4 6
86	7 2 3
87	4 9 0 6 8
88	0 6 1 9 5
89	3 2 6 7 5
90	7 6 9
91	6 7 2
92	9 1 6
93	0 1 7 6 3
94	8 2 5 3 0
95	4 2 6
96	0 8 1 7 5
97	8 0 5 7
98	1 5 2 3
99	6 1 2
