Students	1090
3099822	001151 001423 002855 004733 
1100129	001423 006029 006860 
1006444	002637 006042 010851 011035 
3106561	002151 002855 004009 006023 
1067182	004739 
1087081	001168 001176 001185 002856 010947 
0954240	006023 006846 
3106068	002855 002992 004011 006500 
1101031	005724 009270 011063 
1101350	001151 001166 003422 007364 
1040618	001838 007887 007897 011058 
1100625	002856 004014 006023 007026 
0787159	006023 
1002706	006562 010935 
3074570	003006 004852 006029 
1088173	005247 007364 
0992801	004009 005190 006519 
1102530	002992 004014 004274 007010 010947 
1067502	002637 007375 007380 
1131918	002562 002856 005121 
0825970	010725 
3073138	001168 001423 006023 007364 
1158026	001845 007881 
1056963	003009 003027 004036 
0908998	008765 009270 
1020370	002657 003447 
3098796	001151 001423 002855 004355 
3088117	001836 002367 002855 006023 
1172030	005248 009304 
1083594	001852 001862 008763 
1003644	001839 004278 005727 005737 
3072208	001836 006029 010851 
1079268	008765 011076 
0945449	005156 006044 006059 010961 
0821922	001168 006500 
1087490	002367 002671 002855 008765 
0909091	001168 011075 
3077471	002564 002569 006038 006042 006044 
0948568	002657 002671 003007 
1084187	002562 002856 006029 006038 
0966077	001166 001248 011075 
0959337	006044 006054 006059 
1067334	002367 002992 006042 006054 
3094809	002151 002855 004009 006023 
3075371	001836 002855 002863 008420 
1081939	005722 
3074891	002855 007364 008420 008782 
1169331	003270 003454 006023 008763 
0756739	001845 
3099957	002856 009262 009263 
0991120	003275 007372 008479 011044 
1062675	001838 002637 002856 
1099059	001845 002160 004017 006029 
1066683	002413 004807 009262 
3073568	002855 002992 006023 008767 
3085909	002855 007877 
1055290	001843 001862 006846 007381 
1116377	003275 003447 004806 005724 
0897911	004852 010953 011079 
1139478	001836 006023 007372 
1059469	004014 006029 010935 
1134015	001176 002399 008773 
3077163	002856 004827 007364 
1056722	002562 006042 
0967042	008500 010947 
3107774	001752 002855 004009 006023 
1136830	001838 004013 006500 011027 
1083430	002367 002469 005724 
1083431	006506 
1066924	003422 003454 005156 007372 
1141167	002855 005141 006023 008765 
1049929	002856 002992 006042 010851 
0967411	001758 001764 010971 
3098754	001151 002855 004011 006024 
1067241	002856 002992 004014 007364 
3073702	002992 004009 008782 
1105842	001151 002856 004359 
3076576	002856 003275 008467 008765 
0986807	001166 001176 001248 009270 
0920237	002399 004065 007125 007127 
0795445	004017 006044 006059 
1076989	006042 006846 010851 011035 
1101406	002160 006024 006846 
3093190	002855 002992 004011 006023 
3069264	003275 006029 007364 
3107980	002855 003007 
3099420	002855 004011 006023 
1001196	003275 007125 007127 
0945584	002472 004665 
0966414	003009 007125 007127 
1140609	001151 004274 005847 006026 
1100338	001838 003447 004014 009225 010953 
0992744	001841 001862 
3082682	001836 002855 004011 006029 
1080757	001764 001836 004014 007008 
3086536	001151 002855 002863 005845 
3072890	002855 004011 
1007394	002637 002869 006042 006059 
1016434	006042 006059 008485 009322 
3103826	002855 005121 
0911936	001894 006550 011056 
1086802	001838 003454 
1084057	001836 002160 002856 004011 
0868541	001852 007380 
1002248	001864 006044 006059 009322 
3092969	002855 005121 
1008925	001836 002182 006500 
1081249	003007 003447 006029 007364 
3089341	001423 002855 004274 004359 
3097347	001151 001747 002152 002367 002855 
0993169	002424 002453 002472 010956 
1002241	003008 003027 003270 005737 
1064045	002856 004009 
3072477	003007 006029 
1104356	002413 011027 
0960497	007395 009322 
0897034	001838 002399 002472 004882 
1038671	002162 002164 004666 006846 
1056980	001894 002160 
1020727	002394 004839 006026 
0913946	003270 004888 007127 011055 
0828394	001547 001561 
1078390	002151 004011 007008 
0914290	002472 
3074023	005845 006562 006863 006865 
0966094	002173 002182 004666 
0914299	001856 002464 002472 
3087983	001423 002855 004014 004274 
1163664	002855 002992 004009 008767 
1170303	002160 005727 006024 006846 
1143265	005202 007381 011035 
1056910	002367 002413 002855 002992 
1002405	006042 006044 006059 
3094033	001151 002855 004011 009225 
3106769	002855 002992 004009 004827 
0959304	002173 002182 004017 
0945264	003009 007125 007127 008773 
1056857	001769 005724 
0852608	007397 010961 
1000939	001843 002712 
1169386	002855 006023 007877 011076 
1040874	001836 002162 006029 
3108306	006029 
3075829	001836 002855 008765 
0998885	001749 001758 011079 
3070406	002164 006029 006846 
1009729	002162 002164 004355 006042 
3070017	002151 002855 004009 005141 
3102868	002855 004013 006024 007364 
3095649	002855 002992 004665 006024 
1037338	001423 002863 002869 004733 
0976244	005247 
3107589	002855 002992 005202 008763 
3106835	002151 002855 006023 
0988990	006026 006508 006550 009322 
3099359	002855 004013 006848 007008 
3085403	003009 006026 007125 007127 
0984724	001151 006508 
3076456	002152 002855 006024 008765 009262 
0958879	002992 006059 009322 
1013071	007113 008774 011055 
1018817	004288 005156 007010 
1088882	001168 001176 002856 007364 
1001905	007113 007905 011058 
1116854	001836 002160 005202 006500 
1142418	002160 004359 004665 
3096592	002152 002855 006023 008765 
1078921	001166 001843 001862 006846 
3070476	002855 007364 009262 
1163855	002855 004274 009262 
3099911	002151 002855 004009 006024 
1150965	002160 006029 006846 
3105511	002855 002992 004009 007364 
3074289	002855 002863 005722 007364 
1131189	003447 004013 006029 007010 
1036225	001836 002164 002182 009322 
0849713	001845 004873 004888 
1017412	002869 004827 009262 
1067251	004827 006023 006508 006525 
1067460	001839 001864 006846 008765 
1006438	001839 006042 007010 010851 
3110771	002856 003484 004359 007034 
3070440	004665 007364 008767 010953 
0907063	003027 003031 
0998815	003484 011035 011079 
1159063	001836 002151 004013 006029 
1025522	003006 009266 011027 011056 
3067556	002856 006846 007010 
3102316	002151 002855 004013 006023 
1008387	006054 006863 009266 011064 
1087116	001151 002855 006023 008763 
1080648	001836 005202 
1004206	004873 004888 006519 
1056688	001845 002160 004274 005199 
1067382	002562 004274 004359 006023 007113 
1019827	008485 
3070881	001747 002855 006023 
0985440	005156 005202 006508 006550 
0993268	001845 003031 011046 
3076930	001845 004014 007364 007381 
1079993	001176 001213 001845 006026 
3099757	002562 002855 002992 006024 
0917334	002182 008763 
1076246	002992 007026 007125 
3070438	002149 004827 007377 
1134358	002160 006029 006846 
1170470	002856 003447 003454 006023 
1087938	004355 004827 006026 008765 
1090933	002160 002856 006029 006846 
1170479	001213 006023 010957 
1078819	001444 003007 003027 006029 
1032929	002992 008479 008485 
1066982	002855 006023 008765 
1055590	006500 006863 009322 
0906085	002399 008485 008500 008765 
3076896	002151 003007 004036 
1162008	002149 002855 004806 006023 
0988271	001864 003447 011079 
3089824	002855 006029 009270 
1068549	002151 003447 004013 
1096822	001838 004013 005845 
0900240	001473 004017 010956 
1007196	001473 004359 006042 010956 
0952594	001769 002562 003277 006038 
3099165	002160 002855 006024 008765 
0918775	001764 001843 008765 011079 
0991672	001845 002469 002472 011079 
0918074	004355 007125 007127 010947 
3106131	002855 004733 005852 007364 
1141220	002856 005190 006029 
3086180	002855 
1105086	003484 004666 007010 009270 
3071015	001151 001836 001845 004806 
1162293	001764 002855 004274 008767 
3094992	002635 002855 006024 006848 
1084017	004827 008420 008479 011044 
1158362	004036 005722 006026 011035 
3100897	001547 002855 007364 011027 
3097607	002855 006029 
1165573	002855 004274 004827 
3085836	002855 005722 007364 
0999712	007127 011063 
0920400	007113 011066 
1170848	003275 004665 007010 
1083812	005724 007127 010953 
0999715	001864 006044 006059 010851 
0989395	007377 007397 
1078198	001151 001185 002856 005121 
3076489	002367 002855 002992 004011 
3092360	002413 002855 002992 006029 
1077416	004377 007026 
0915885	001862 001890 009322 
1005315	002367 002424 002992 
1102030	001166 001836 006023 007380 
3078408	004017 004036 005722 005737 008782 
0966299	001166 001248 001862 004666 
1082315	001836 002160 002856 007010 
3088421	002855 004014 006023 
1142212	004666 010953 
3073692	002367 005156 008765 
