Class Times	63
1	 2:00 PM  4:00 PM W
2	10:00 AM 11:00 AM MWF
3	11:00 AM 12:00 PM MWF
4	 9:00 AM 10:00 AM M-F
5	 1:00 PM  2:30 PM MW
6	10:00 AM 11:30 AM TTH
7	 9:00 AM 10:00 AM MWF
8	 1:00 PM  2:30 PM TTH
9	 1:00 PM  4:00 PM T
10	 7:00 PM 10:00 PM T
11	 1:00 PM  3:30 PM F
12	 7:00 PM  9:00 PM T
13	 2:30 PM  4:00 PM MW
14	12:00 PM  2:00 PM T
15	 8:30 AM 10:00 AM TTH
16	12:00 PM  1:00 PM MWF
17	 7:00 PM  9:30 PM M
18	 1:00 PM  3:00 PM W
19	 1:00 PM  3:30 PM T
20	 5:30 PM  8:00 PM W
21	 2:30 PM  4:00 PM TTH
22	11:30 AM  1:00 PM TTH
23	 2:00 PM  4:00 PM M
24	 2:00 PM  4:00 PM T
25	12:00 PM  2:00 PM W
26	 7:00 PM 10:00 PM M
27	10:00 AM 11:30 AM MW
28	12:00 PM  2:00 PM M
29	 7:00 PM  9:00 PM M
30	 2:00 PM  4:00 PM TH
31	 1:00 PM  5:00 PM MT
32	 1:30 PM  3:30 PM F
33	 7:00 PM 10:00 PM W
34	12:00 PM  1:30 PM TTH
35	 1:00 PM  4:00 PM M
36	 1:00 PM  3:00 PM WF
37	 2:30 PM  4:00 PM T
38	 1:00 PM  4:00 PM TH
39	 9:00 AM 10:00 AM MTWF
40	 1:00 PM  4:00 PM W
41	 9:30 AM 12:30 PM W
42	 4:00 PM  5:30 PM W
43	 7:00 PM  9:30 PM T
44	 1:00 PM  4:00 PM F
45	 1:00 PM  2:00 PM MWF
46	12:00 PM  4:00 PM MF
47	 1:00 PM  2:30 PM WF
48	 2:00 PM  3:00 PM MWF
49	10:00 AM 11:00 AM M-F
50	11:00 AM 12:00 PM M-F
51	 1:00 PM  2:30 PM M
52	 4:00 PM  6:00 PM TH
53	 2:30 PM  4:00 PM W
54	 6:30 PM  9:30 PM M
55	11:30 AM  1:00 PM MW
56	 2:30 PM  4:20 PM T
57	 1:00 PM  3:30 PM M
58	 7:30 PM  9:00 PM T
59	 1:00 PM  3:30 PM TH
60	10:00 AM 11:20 AM TTH
61	 8:00 AM  9:00 AM M-F
62	12:00 PM  1:00 PM W
63	 1:00 PM  2:30 PM F
